Parent	Type	Child	Weight	Probability	Score
GIMAP7	+	RASAL3	0.489637	0.000000	NaN
CD247	+	RASAL3	0.393284	0.000000	NaN
PGM2L1	+	RASAL3	0.240342	0.000000	NaN
CD3D	+	RASAL3	0.202874	0.000000	NaN
IL22	+	RASAL3	0.044619	0.000000	NaN
CCL5	+	RASAL3	0.183477	0.000000	NaN
CLEC2D	+	RASAL3	0.061741	0.000000	NaN
CAMK4	+	RASAL3	0.406437	0.000000	NaN
TRAV8-2	+	RASAL3	0.541019	0.000000	NaN
CD74	-	RASAL3	-0.000662	0.000000	NaN
CD28	-	RASAL3	-0.121629	0.000000	NaN
TNFRSF18	+	RASAL3	0.020326	0.000000	NaN
CD52	+	RASAL3	0.220123	0.000000	NaN
IL32	+	RASAL3	0.001809	0.000000	NaN
TRAV8-3	-	RASAL3	-0.394190	0.000000	NaN
ZAP70	+	RASAL3	0.037246	0.000000	NaN
ISG20	+	RASAL3	0.505642	0.000000	NaN
CD69	+	RASAL3	0.220522	0.000000	NaN
SLC38A1	+	RASAL3	0.142340	0.000000	NaN
LY9	-	RASAL3	-0.179877	0.000000	NaN
HSPA8	-	RASAL3	-0.030490	0.000000	NaN
EVL	+	RASAL3	0.155767	0.000000	NaN
TOX	-	RASAL3	-0.312033	0.000000	NaN
TRAT1	+	RASAL3	0.195499	0.000000	NaN
LAIR2	-	RASAL3	-0.010767	0.000000	NaN
CD82	-	RASAL3	-0.142953	0.000000	NaN
ACTB	-	LAT	-0.011871	0.000000	NaN
TIGIT	-	LAT	-0.045402	0.000000	NaN
BIRC3	-	LAT	-0.122957	0.000000	NaN
SLAMF1	+	LAT	0.685538	0.000000	NaN
CST7	+	LAT	0.024800	0.000000	NaN
SAMSN1	-	LAT	-0.664746	0.000000	NaN
HLA-DQA1	+	LAT	0.007289	0.000000	NaN
TMSB4X	-	LAT	-0.040355	0.000000	NaN
TRBV4-1	-	LAT	-0.038823	0.000000	NaN
PTGER4	+	LAT	1.228260	0.000000	NaN
RHOH	-	LAT	-1.095421	0.000000	NaN
SH2D1A	-	LAT	-0.180861	0.000000	NaN
NBAS	-	LAT	-0.141501	0.000000	NaN
CD3E	+	LAT	1.712513	0.000000	NaN
ALOX5AP	-	LAT	-0.201514	0.000000	NaN
SKAP1	+	LAT	0.414290	0.000000	NaN
LIME1	+	LAT	0.440102	0.000000	NaN
TNFRSF4	+	LAT	0.401572	0.000000	NaN
SEPT1	-	LAT	-1.218630	0.000000	NaN
TMC8	+	LAT	0.943163	0.000000	NaN
HLA-DPA1	+	LAT	0.004455	0.000000	NaN
IL2RG	+	LAT	0.697694	0.000000	NaN
GNLY	+	LAT	0.081930	0.000000	NaN
CD3G	+	LAT	0.834067	0.000000	NaN
PTPN7	-	LAT	-0.494029	0.000000	NaN
SIT1	+	LAT	1.144121	0.000000	NaN
ZFP36L2	+	LAT	3.321574	0.000000	NaN
TMSB10	-	LAT	-0.044906	0.000000	NaN
IKZF3	+	LAT	0.370920	0.000000	NaN
ITM2A	-	LAT	-0.259436	0.000000	NaN
TAGAP	+	LAT	2.594947	0.000000	NaN
S100A10	-	LAT	-0.049413	0.000000	NaN
TRAC	+	LAT	1.182712	0.000000	NaN
C12orf75	+	LAT	0.296086	0.000000	NaN
CD96	+	LAT	0.757319	0.000000	NaN
SLC9A3R1	-	LAT	-0.755818	0.000000	NaN
DUSP2	-	LAT	-0.192052	0.000000	NaN
SELL	-	LAT	-0.636346	0.000000	NaN
TRBC1	+	LAT	2.228580	0.000000	NaN
HLA-DRB5	+	LAT	0.007729	0.000000	NaN
CXCR4	+	LAT	0.011114	0.000000	NaN
SRGN	-	LAT	-0.073623	0.000000	NaN
RASAL3	+	LAT	0.752733	0.000000	NaN
LAT	-	LAT	-0.063114	0.000000	NaN
CD2	+	LAT	1.364349	0.000000	NaN
IL7R	+	LAT	1.643734	0.000000	NaN
SYTL1	+	LAT	0.607147	0.000000	NaN
S100A4	-	LAT	-0.069638	0.000000	NaN
CD40LG	+	LAT	0.033727	0.000000	NaN
PTPRCAP	+	LAT	0.702163	0.000000	NaN
LTB	+	LAT	0.654600	0.000000	NaN
GATA3	+	LAT	0.831846	0.000000	NaN
LCK	+	LAT	1.232347	0.000000	NaN
BATF	+	LAT	0.251813	0.000000	NaN
TRBC2	+	LAT	1.050172	0.000000	NaN
GZMA	+	LAT	1.495697	0.000000	NaN
TNFRSF25	-	LAT	-0.286210	0.000000	NaN
KIAA1551	+	LAT	0.431318	0.000000	NaN
CXCR3	+	LAT	0.676646	0.000000	NaN
DDIT4	+	LAT	0.233225	0.000000	NaN
TC2N	+	LAT	1.207989	0.000000	NaN
GZMM	+	LAT	0.467958	0.000000	NaN
SH2D2A	+	LAT	0.373617	0.000000	NaN
ITK	+	LAT	2.162639	0.000000	NaN
HLA-DRB1	+	LAT	0.004488	0.000000	NaN
TSPAN13	+	LAT	0.224500	0.000000	NaN
RGS1	-	LAT	-0.360589	0.000000	NaN
APOBEC3G	-	LAT	-1.171891	0.000000	NaN
PIM2	+	LAT	1.348410	0.000000	NaN
TUBA4A	+	LAT	0.348201	0.000000	NaN
RARRES3	+	LAT	0.084871	0.000000	NaN
TCF7	-	LAT	-0.813075	0.000000	NaN
KLRB1	+	LAT	0.394578	0.000000	NaN
GIMAP7	+	LAT	1.777091	0.000000	NaN
CD247	+	LAT	1.522347	0.000000	NaN
PGM2L1	+	LAT	1.904081	0.000000	NaN
CD3D	+	LAT	2.049664	0.000000	NaN
IL22	-	LAT	-0.018360	0.000000	NaN
CCL5	+	LAT	0.840165	0.000000	NaN
CLEC2D	+	LAT	1.008828	0.000000	NaN
CAMK4	+	LAT	0.527215	0.000000	NaN
TRAV8-2	+	LAT	1.114548	0.000000	NaN
CD74	+	LAT	0.003695	0.000000	NaN
CD28	-	LAT	-0.171277	0.000000	NaN
TNFRSF18	+	LAT	0.453087	0.000000	NaN
CD52	+	LAT	0.485910	0.000000	NaN
IL32	-	LAT	-0.030935	0.000000	NaN
TRAV8-3	-	LAT	-0.525242	0.000000	NaN
ZAP70	+	LAT	1.297752	0.000000	NaN
ISG20	+	LAT	1.768441	0.000000	NaN
CD69	+	LAT	0.279611	0.000000	NaN
SLC38A1	-	LAT	-0.082304	0.000000	NaN
LY9	-	LAT	-0.499826	0.000000	NaN
HSPA8	-	LAT	-0.075827	0.000000	NaN
EVL	-	LAT	-0.585188	0.000000	NaN
TOX	-	LAT	-1.304297	0.000000	NaN
TRAT1	+	LAT	0.656667	0.000000	NaN
LAIR2	+	LAT	0.268172	0.000000	NaN
CD82	-	LAT	-0.137048	0.000000	NaN
ACTB	-	CD2	-0.011577	0.000000	NaN
TIGIT	+	CD2	0.186993	0.000000	NaN
BIRC3	-	CD2	-0.035712	0.000000	NaN
SLAMF1	+	CD2	0.289292	0.000000	NaN
CST7	+	CD2	0.377710	0.000000	NaN
SAMSN1	+	CD2	0.057886	0.000000	NaN
HLA-DQA1	+	CD2	0.005111	0.000000	NaN
TMSB4X	-	CD2	-0.027611	0.000000	NaN
TRBV4-1	-	CD2	-0.122162	0.000000	NaN
PTGER4	-	CD2	-0.258675	0.000000	NaN
RHOH	-	CD2	-0.250518	0.000000	NaN
SH2D1A	-	CD2	-0.516248	0.000000	NaN
NBAS	-	CD2	-0.159576	0.000000	NaN
CD3E	+	CD2	1.159863	0.000000	NaN
ALOX5AP	+	CD2	0.412667	0.000000	NaN
SKAP1	-	CD2	-0.185119	0.000000	NaN
LIME1	+	CD2	1.379409	0.000000	NaN
TNFRSF4	-	CD2	-0.013264	0.000000	NaN
SEPT1	+	CD2	1.160632	0.000000	NaN
TMC8	+	CD2	0.827734	0.000000	NaN
HLA-DPA1	+	CD2	0.003039	0.000000	NaN
IL2RG	+	CD2	0.256978	0.000000	NaN
GNLY	+	CD2	0.164560	0.000000	NaN
CD3G	+	CD2	1.134892	0.000000	NaN
PTPN7	-	CD2	-0.047667	0.000000	NaN
SIT1	+	CD2	0.394890	0.000000	NaN
ZFP36L2	+	CD2	2.723926	0.000000	NaN
TMSB10	-	CD2	-0.034957	0.000000	NaN
IKZF3	+	CD2	0.265336	0.000000	NaN
ITM2A	-	CD2	-0.683699	0.000000	NaN
TAGAP	+	CD2	0.835149	0.000000	NaN
S100A10	-	CD2	-0.032409	0.000000	NaN
TRAC	+	CD2	1.873091	0.000000	NaN
C12orf75	+	CD2	0.585357	0.000000	NaN
CD96	+	CD2	0.467104	0.000000	NaN
SLC9A3R1	-	CD2	-0.799832	0.000000	NaN
DUSP2	-	CD2	-0.066880	0.000000	NaN
SELL	-	CD2	-0.206093	0.000000	NaN
TRBC1	+	CD2	2.271137	0.000000	NaN
HLA-DRB5	+	CD2	0.005388	0.000000	NaN
CXCR4	+	CD2	1.207704	0.000000	NaN
SRGN	-	CD2	-0.037751	0.000000	NaN
RASAL3	+	CD2	1.095925	0.000000	NaN
LAT	-	CD2	-0.705192	0.000000	NaN
CD2	+	CD2	0.785575	0.000000	NaN
IL7R	+	CD2	1.546346	0.000000	NaN
SYTL1	+	CD2	1.335613	0.000000	NaN
S100A4	-	CD2	-0.052403	0.000000	NaN
CD40LG	+	CD2	0.299191	0.000000	NaN
PTPRCAP	+	CD2	0.290801	0.000000	NaN
LTB	+	CD2	0.203632	0.000000	NaN
GATA3	-	CD2	-0.963256	0.000000	NaN
LCK	+	CD2	0.301557	0.000000	NaN
BATF	-	CD2	-0.056580	0.000000	NaN
TRBC2	+	CD2	1.067149	0.000000	NaN
GZMA	+	CD2	1.432272	0.000000	NaN
TNFRSF25	+	CD2	0.157526	0.000000	NaN
KIAA1551	+	CD2	0.029402	0.000000	NaN
CXCR3	+	CD2	0.814626	0.000000	NaN
DDIT4	+	CD2	0.799974	0.000000	NaN
TC2N	+	CD2	1.246486	0.000000	NaN
GZMM	+	CD2	1.865436	0.000000	NaN
SH2D2A	+	CD2	0.354933	0.000000	NaN
ITK	+	CD2	2.092708	0.000000	NaN
HLA-DRB1	+	CD2	0.002707	0.000000	NaN
TSPAN13	-	CD2	-0.136676	0.000000	NaN
RGS1	-	CD2	-0.200536	0.000000	NaN
APOBEC3G	+	CD2	0.992869	0.000000	NaN
PIM2	+	CD2	0.771743	0.000000	NaN
TUBA4A	+	CD2	0.826087	0.000000	NaN
RARRES3	+	CD2	0.064827	0.000000	NaN
TCF7	-	CD2	-0.107832	0.000000	NaN
KLRB1	+	CD2	2.023160	0.000000	NaN
GIMAP7	+	CD2	2.017904	0.000000	NaN
CD247	+	CD2	1.367089	0.000000	NaN
PGM2L1	+	CD2	0.338879	0.000000	NaN
CD3D	+	CD2	1.631815	0.000000	NaN
IL22	+	CD2	0.025400	0.000000	NaN
CCL5	+	CD2	1.795967	0.000000	NaN
CLEC2D	+	CD2	0.813218	0.000000	NaN
CAMK4	+	CD2	1.322305	0.000000	NaN
TRAV8-2	+	CD2	0.885712	0.000000	NaN
CD74	+	CD2	0.002262	0.000000	NaN
CD28	-	CD2	-0.231610	0.000000	NaN
TNFRSF18	+	CD2	0.141123	0.000000	NaN
CD52	+	CD2	0.437673	0.000000	NaN
IL32	-	CD2	-0.066913	0.000000	NaN
TRAV8-3	-	CD2	-0.631095	0.000000	NaN
ZAP70	+	CD2	1.031205	0.000000	NaN
ISG20	+	CD2	1.490576	0.000000	NaN
CD69	+	CD2	1.391098	0.000000	NaN
SLC38A1	+	CD2	0.336226	0.000000	NaN
LY9	+	CD2	0.388080	0.000000	NaN
HSPA8	-	CD2	-0.126508	0.000000	NaN
EVL	-	CD2	-0.221704	0.000000	NaN
TOX	-	CD2	-0.753368	0.000000	NaN
TRAT1	+	CD2	1.247200	0.000000	NaN
LAIR2	+	CD2	0.137908	0.000000	NaN
CD82	-	CD2	-0.402058	0.000000	NaN
ACTB	+	IL7R	0.096990	0.000000	NaN
TIGIT	+	IL7R	0.106924	0.000000	NaN
BIRC3	+	IL7R	2.888550	0.000000	NaN
SLAMF1	+	IL7R	2.009378	0.000000	NaN
CST7	+	IL7R	5.404156	0.000000	NaN
SAMSN1	+	IL7R	6.639318	0.000000	NaN
HLA-DQA1	+	IL7R	0.702662	0.000000	NaN
TMSB4X	+	IL7R	0.610106	0.000000	NaN
TRBV4-1	-	IL7R	-0.165635	0.000000	NaN
PTGER4	+	IL7R	4.514335	0.000000	NaN
RHOH	-	IL7R	-0.778391	0.000000	NaN
SH2D1A	-	IL7R	-1.649665	0.000000	NaN
NBAS	-	IL7R	-0.092487	0.000000	NaN
CD3E	+	IL7R	0.283386	0.000000	NaN
ALOX5AP	+	IL7R	1.258417	0.000000	NaN
SKAP1	-	IL7R	-1.994648	0.000000	NaN
LIME1	+	IL7R	1.057618	0.000000	NaN
TNFRSF4	-	IL7R	-0.286670	0.000000	NaN
SEPT1	+	IL7R	3.448694	0.000000	NaN
TMC8	+	IL7R	3.293271	0.000000	NaN
HLA-DPA1	+	IL7R	0.519412	0.000000	NaN
IL2RG	+	IL7R	0.313388	0.000000	NaN
GNLY	-	IL7R	-0.135493	0.000000	NaN
CD3G	+	IL7R	0.674840	0.000000	NaN
PTPN7	-	IL7R	-1.662364	0.000000	NaN
SIT1	-	IL7R	-1.221130	0.000000	NaN
ZFP36L2	+	IL7R	6.123318	0.000000	NaN
TMSB10	+	IL7R	1.331490	0.000000	NaN
IKZF3	+	IL7R	2.971610	0.000000	NaN
ITM2A	-	IL7R	-0.546472	0.000000	NaN
TAGAP	+	IL7R	5.723596	0.000000	NaN
S100A10	+	IL7R	2.897318	0.000000	NaN
TRAC	+	IL7R	3.727678	0.000000	NaN
C12orf75	-	IL7R	-2.441984	0.000000	NaN
CD96	-	IL7R	-0.460177	0.000000	NaN
SLC9A3R1	-	IL7R	-1.847917	0.000000	NaN
DUSP2	+	IL7R	3.124292	0.000000	NaN
SELL	+	IL7R	3.409569	0.000000	NaN
TRBC1	+	IL7R	4.104374	0.000000	NaN
HLA-DRB5	+	IL7R	1.079438	0.000000	NaN
CXCR4	+	IL7R	5.323293	0.000000	NaN
SRGN	+	IL7R	5.099878	0.000000	NaN
RASAL3	+	IL7R	1.004102	0.000000	NaN
LAT	+	IL7R	1.285821	0.000000	NaN
CD2	+	IL7R	0.872609	0.000000	NaN
IL7R	+	IL7R	8.355452	0.000000	NaN
SYTL1	+	IL7R	1.672425	0.000000	NaN
S100A4	+	IL7R	2.456044	0.000000	NaN
CD40LG	-	IL7R	-0.290437	0.000000	NaN
PTPRCAP	+	IL7R	0.768519	0.000000	NaN
LTB	+	IL7R	0.103881	0.000000	NaN
GATA3	-	IL7R	-0.806356	0.000000	NaN
LCK	-	IL7R	-0.410141	0.000000	NaN
BATF	+	IL7R	0.738635	0.000000	NaN
TRBC2	+	IL7R	0.124728	0.000000	NaN
GZMA	+	IL7R	1.820901	0.000000	NaN
TNFRSF25	-	IL7R	-0.476614	0.000000	NaN
KIAA1551	+	IL7R	4.355586	0.000000	NaN
CXCR3	+	IL7R	1.724946	0.000000	NaN
DDIT4	+	IL7R	3.746890	0.000000	NaN
TC2N	+	IL7R	2.286773	0.000000	NaN
GZMM	+	IL7R	2.844693	0.000000	NaN
SH2D2A	-	IL7R	-1.851879	0.000000	NaN
ITK	+	IL7R	3.693098	0.000000	NaN
HLA-DRB1	+	IL7R	0.657005	0.000000	NaN
TSPAN13	-	IL7R	-0.363985	0.000000	NaN
RGS1	+	IL7R	1.589563	0.000000	NaN
APOBEC3G	-	IL7R	-0.833846	0.000000	NaN
PIM2	+	IL7R	1.311767	0.000000	NaN
TUBA4A	+	IL7R	0.768011	0.000000	NaN
RARRES3	+	IL7R	4.345505	0.000000	NaN
TCF7	-	IL7R	-0.966964	0.000000	NaN
KLRB1	-	IL7R	-0.075846	0.000000	NaN
GIMAP7	+	IL7R	6.931129	0.000000	NaN
CD247	+	IL7R	3.404945	0.000000	NaN
PGM2L1	+	IL7R	3.123479	0.000000	NaN
CD3D	+	IL7R	2.213649	0.000000	NaN
IL22	-	IL7R	-0.046324	0.000000	NaN
CCL5	+	IL7R	1.534088	0.000000	NaN
CLEC2D	-	IL7R	-1.085085	0.000000	NaN
CAMK4	+	IL7R	1.540009	0.000000	NaN
TRAV8-2	+	IL7R	0.223514	0.000000	NaN
CD74	+	IL7R	0.235626	0.000000	NaN
CD28	-	IL7R	-2.455861	0.000000	NaN
TNFRSF18	-	IL7R	-0.379019	0.000000	NaN
CD52	+	IL7R	2.905605	0.000000	NaN
IL32	-	IL7R	-0.134699	0.000000	NaN
TRAV8-3	+	IL7R	0.090982	0.000000	NaN
ZAP70	-	IL7R	-0.125838	0.000000	NaN
ISG20	+	IL7R	3.172360	0.000000	NaN
CD69	+	IL7R	1.026936	0.000000	NaN
SLC38A1	-	IL7R	-0.601884	0.000000	NaN
LY9	-	IL7R	-1.546938	0.000000	NaN
HSPA8	+	IL7R	0.317057	0.000000	NaN
EVL	+	IL7R	0.508516	0.000000	NaN
TOX	-	IL7R	-0.195949	0.000000	NaN
TRAT1	-	IL7R	-0.291765	0.000000	NaN
LAIR2	+	IL7R	0.043391	0.000000	NaN
CD82	-	IL7R	-1.849246	0.000000	NaN
ACTB	-	SYTL1	-0.002394	0.000000	NaN
TIGIT	-	SYTL1	-0.313486	0.000000	NaN
BIRC3	+	SYTL1	0.025798	0.000000	NaN
SLAMF1	+	SYTL1	0.310153	0.000000	NaN
CST7	+	SYTL1	0.216386	0.000000	NaN
SAMSN1	+	SYTL1	0.310786	0.000000	NaN
HLA-DQA1	-	SYTL1	-0.000181	0.000000	NaN
TMSB4X	+	SYTL1	0.020800	0.000000	NaN
TRBV4-1	-	SYTL1	-0.042994	0.000000	NaN
PTGER4	+	SYTL1	0.387211	0.000000	NaN
RHOH	+	SYTL1	0.398529	0.000000	NaN
SH2D1A	-	SYTL1	-0.204799	0.000000	NaN
NBAS	-	SYTL1	-0.055409	0.000000	NaN
CD3E	-	SYTL1	-0.039790	0.000000	NaN
ALOX5AP	+	SYTL1	0.190389	0.000000	NaN
SKAP1	-	SYTL1	-0.024036	0.000000	NaN
LIME1	-	SYTL1	-0.005247	0.000000	NaN
TNFRSF4	-	SYTL1	-0.031385	0.000000	NaN
SEPT1	-	SYTL1	-0.099997	0.000000	NaN
TMC8	+	SYTL1	0.518029	0.000000	NaN
HLA-DPA1	+	SYTL1	0.001900	0.000000	NaN
IL2RG	+	SYTL1	0.042990	0.000000	NaN
GNLY	+	SYTL1	0.018965	0.000000	NaN
CD3G	+	SYTL1	0.139565	0.000000	NaN
PTPN7	-	SYTL1	-0.530558	0.000000	NaN
SIT1	+	SYTL1	0.271090	0.000000	NaN
ZFP36L2	+	SYTL1	1.479284	0.000000	NaN
TMSB10	+	SYTL1	0.027346	0.000000	NaN
IKZF3	+	SYTL1	0.350754	0.000000	NaN
ITM2A	+	SYTL1	0.280475	0.000000	NaN
TAGAP	+	SYTL1	0.789552	0.000000	NaN
S100A10	+	SYTL1	0.073178	0.000000	NaN
TRAC	+	SYTL1	0.401463	0.000000	NaN
C12orf75	-	SYTL1	-0.164374	0.000000	NaN
CD96	+	SYTL1	0.218855	0.000000	NaN
SLC9A3R1	-	SYTL1	-0.268061	0.000000	NaN
DUSP2	+	SYTL1	0.015963	0.000000	NaN
SELL	+	SYTL1	0.057908	0.000000	NaN
TRBC1	+	SYTL1	0.793023	0.000000	NaN
HLA-DRB5	+	SYTL1	0.006107	0.000000	NaN
CXCR4	+	SYTL1	0.728825	0.000000	NaN
SRGN	+	SYTL1	0.069735	0.000000	NaN
RASAL3	+	SYTL1	0.202207	0.000000	NaN
LAT	-	SYTL1	-0.331457	0.000000	NaN
CD2	+	SYTL1	0.402185	0.000000	NaN
IL7R	+	SYTL1	1.089728	0.000000	NaN
SYTL1	+	SYTL1	0.614674	0.000000	NaN
S100A4	+	SYTL1	0.096182	0.000000	NaN
CD40LG	-	SYTL1	-0.023636	0.000000	NaN
PTPRCAP	+	SYTL1	0.077656	0.000000	NaN
LTB	+	SYTL1	0.191675	0.000000	NaN
GATA3	+	SYTL1	0.447246	0.000000	NaN
LCK	+	SYTL1	0.110874	0.000000	NaN
BATF	+	SYTL1	0.086816	0.000000	NaN
TRBC2	+	SYTL1	0.213972	0.000000	NaN
GZMA	+	SYTL1	0.497763	0.000000	NaN
TNFRSF25	+	SYTL1	0.142416	0.000000	NaN
KIAA1551	+	SYTL1	0.491196	0.000000	NaN
CXCR3	+	SYTL1	0.021060	0.000000	NaN
DDIT4	+	SYTL1	0.343476	0.000000	NaN
TC2N	+	SYTL1	0.554597	0.000000	NaN
GZMM	+	SYTL1	0.338160	0.000000	NaN
SH2D2A	+	SYTL1	0.111352	0.000000	NaN
ITK	+	SYTL1	0.697544	0.000000	NaN
HLA-DRB1	+	SYTL1	0.001053	0.000000	NaN
TSPAN13	-	SYTL1	-0.173790	0.000000	NaN
RGS1	-	SYTL1	-0.064951	0.000000	NaN
APOBEC3G	+	SYTL1	0.113683	0.000000	NaN
PIM2	-	SYTL1	-0.139398	0.000000	NaN
TUBA4A	+	SYTL1	0.510689	0.000000	NaN
RARRES3	+	SYTL1	0.435154	0.000000	NaN
TCF7	-	SYTL1	-0.411464	0.000000	NaN
KLRB1	+	SYTL1	0.595256	0.000000	NaN
GIMAP7	+	SYTL1	1.009586	0.000000	NaN
CD247	+	SYTL1	0.516873	0.000000	NaN
PGM2L1	+	SYTL1	0.474156	0.000000	NaN
CD3D	-	SYTL1	-0.055168	0.000000	NaN
IL22	-	SYTL1	-0.006382	0.000000	NaN
CCL5	+	SYTL1	0.362404	0.000000	NaN
CLEC2D	-	SYTL1	-0.078666	0.000000	NaN
CAMK4	+	SYTL1	0.191511	0.000000	NaN
TRAV8-2	+	SYTL1	0.528512	0.000000	NaN
CD74	+	SYTL1	0.000344	0.000000	NaN
CD28	-	SYTL1	-0.563746	0.000000	NaN
TNFRSF18	+	SYTL1	0.068463	0.000000	NaN
CD52	+	SYTL1	0.452592	0.000000	NaN
IL32	-	SYTL1	-0.023850	0.000000	NaN
TRAV8-3	-	SYTL1	-0.327315	0.000000	NaN
ZAP70	+	SYTL1	0.102990	0.000000	NaN
ISG20	+	SYTL1	0.566527	0.000000	NaN
CD69	-	SYTL1	-0.013961	0.000000	NaN
SLC38A1	+	SYTL1	0.179722	0.000000	NaN
LY9	-	SYTL1	-0.077596	0.000000	NaN
HSPA8	-	SYTL1	-0.041702	0.000000	NaN
EVL	+	SYTL1	0.016816	0.000000	NaN
TOX	-	SYTL1	-0.418434	0.000000	NaN
TRAT1	+	SYTL1	0.148887	0.000000	NaN
LAIR2	-	SYTL1	-0.075410	0.000000	NaN
CD82	-	SYTL1	-0.246823	0.000000	NaN
ACTB	+	S100A4	6.391579	0.000000	NaN
TIGIT	-	S100A4	-16.154261	0.000000	NaN
BIRC3	+	S100A4	27.097910	0.000000	NaN
SLAMF1	+	S100A4	23.601508	0.000000	NaN
CST7	+	S100A4	25.378654	0.000000	NaN
SAMSN1	+	S100A4	37.874017	0.000000	NaN
HLA-DQA1	+	S100A4	36.905293	0.000000	NaN
TMSB4X	+	S100A4	20.188262	0.000000	NaN
TRBV4-1	-	S100A4	-3.547025	0.000000	NaN
PTGER4	+	S100A4	7.834401	0.000000	NaN
RHOH	-	S100A4	-39.176070	0.000000	NaN
SH2D1A	-	S100A4	-14.869568	0.000000	NaN
NBAS	+	S100A4	5.228426	0.000000	NaN
CD3E	-	S100A4	-5.034957	0.000000	NaN
ALOX5AP	+	S100A4	0.682622	0.000000	NaN
SKAP1	-	S100A4	-22.661732	0.000000	NaN
LIME1	+	S100A4	2.296448	0.000000	NaN
TNFRSF4	+	S100A4	1.325194	0.000000	NaN
SEPT1	-	S100A4	-4.409611	0.000000	NaN
TMC8	+	S100A4	24.508187	0.000000	NaN
HLA-DPA1	+	S100A4	33.644768	0.000000	NaN
IL2RG	+	S100A4	29.307586	0.000000	NaN
GNLY	-	S100A4	-0.160749	0.000000	NaN
CD3G	-	S100A4	-19.357117	0.000000	NaN
PTPN7	+	S100A4	9.844463	0.000000	NaN
SIT1	-	S100A4	-11.827946	0.000000	NaN
ZFP36L2	+	S100A4	75.074188	0.000000	NaN
TMSB10	+	S100A4	71.684979	0.000000	NaN
IKZF3	-	S100A4	-7.374178	0.000000	NaN
ITM2A	-	S100A4	-14.701272	0.000000	NaN
TAGAP	+	S100A4	48.904797	0.000000	NaN
S100A10	+	S100A4	148.507717	0.000000	NaN
TRAC	+	S100A4	25.454562	0.000000	NaN
C12orf75	+	S100A4	0.789806	0.000000	NaN
CD96	-	S100A4	-8.269070	0.000000	NaN
SLC9A3R1	-	S100A4	-21.739673	0.000000	NaN
DUSP2	+	S100A4	61.123424	0.000000	NaN
SELL	+	S100A4	44.216215	0.000000	NaN
TRBC1	+	S100A4	40.767335	0.000000	NaN
HLA-DRB5	+	S100A4	74.865158	0.000000	NaN
CXCR4	+	S100A4	11.482860	0.000000	NaN
SRGN	+	S100A4	139.879650	0.000000	NaN
RASAL3	+	S100A4	25.537904	0.000000	NaN
LAT	-	S100A4	-11.301979	0.000000	NaN
CD2	-	S100A4	-8.711247	0.000000	NaN
IL7R	+	S100A4	46.281408	0.000000	NaN
SYTL1	+	S100A4	20.409489	0.000000	NaN
S100A4	+	S100A4	102.894842	0.000000	NaN
CD40LG	-	S100A4	-2.456291	0.000000	NaN
PTPRCAP	-	S100A4	-1.628382	0.000000	NaN
LTB	+	S100A4	7.229440	0.000000	NaN
GATA3	-	S100A4	-22.311880	0.000000	NaN
LCK	-	S100A4	-23.351384	0.000000	NaN
BATF	+	S100A4	13.147285	0.000000	NaN
TRBC2	-	S100A4	-4.835011	0.000000	NaN
GZMA	-	S100A4	-2.840021	0.000000	NaN
TNFRSF25	-	S100A4	-18.261028	0.000000	NaN
KIAA1551	+	S100A4	30.294823	0.000000	NaN
CXCR3	-	S100A4	-1.843775	0.000000	NaN
DDIT4	+	S100A4	44.265006	0.000000	NaN
TC2N	+	S100A4	2.761336	0.000000	NaN
GZMM	-	S100A4	-12.235974	0.000000	NaN
SH2D2A	-	S100A4	-24.505644	0.000000	NaN
ITK	+	S100A4	25.108132	0.000000	NaN
HLA-DRB1	+	S100A4	41.570674	0.000000	NaN
TSPAN13	+	S100A4	3.692478	0.000000	NaN
RGS1	-	S100A4	-5.848502	0.000000	NaN
APOBEC3G	+	S100A4	9.935208	0.000000	NaN
PIM2	+	S100A4	4.512658	0.000000	NaN
TUBA4A	+	S100A4	14.693048	0.000000	NaN
RARRES3	+	S100A4	24.233585	0.000000	NaN
TCF7	-	S100A4	-14.978992	0.000000	NaN
KLRB1	-	S100A4	-12.240552	0.000000	NaN
GIMAP7	+	S100A4	91.977664	0.000000	NaN
CD247	+	S100A4	5.723785	0.000000	NaN
PGM2L1	+	S100A4	29.616334	0.000000	NaN
CD3D	-	S100A4	-7.773620	0.000000	NaN
IL22	-	S100A4	-0.384823	0.000000	NaN
CCL5	+	S100A4	0.225007	0.000000	NaN
CLEC2D	+	S100A4	6.060385	0.000000	NaN
CAMK4	-	S100A4	-0.500577	0.000000	NaN
TRAV8-2	+	S100A4	30.261032	0.000000	NaN
CD74	+	S100A4	13.380434	0.000000	NaN
CD28	-	S100A4	-25.834567	0.000000	NaN
TNFRSF18	+	S100A4	11.118470	0.000000	NaN
CD52	+	S100A4	59.580359	0.000000	NaN
IL32	-	S100A4	-1.097829	0.000000	NaN
TRAV8-3	-	S100A4	-19.843056	0.000000	NaN
ZAP70	+	S100A4	11.434325	0.000000	NaN
ISG20	+	S100A4	20.382150	0.000000	NaN
CD69	-	S100A4	-8.129583	0.000000	NaN
SLC38A1	-	S100A4	-13.150351	0.000000	NaN
LY9	-	S100A4	-15.205601	0.000000	NaN
HSPA8	+	S100A4	2.378372	0.000000	NaN
EVL	-	S100A4	-25.895364	0.000000	NaN
